*ItemCode,ItemName,Quantity,PurchasesDescription,PurchasesUnitPrice,PurchasesAccount,PurchasesTaxRate,SalesDescription,SalesUnitPrice,SalesAccount,SalesTaxRate,InventoryAssetAccount,CostOfGoodsSoldAccount,Status,InventoryType
RPC001,RepairCare Dry Seal White,,RepairCare Dry Seal White,12.22,311,No VAT,RepairCare Dry Seal White,14.05,202,No VAT,,,Active,Untracked
RPC002,RepairCare Dry Flex 1,,RepairCare Dry Flex 1,50.56,311,No VAT,RepairCare Dry Flex 1,60.672,202,No VAT,,,Active,Untracked
RPC003,RepairCare Dry Flex 3,,RepairCare Dry Flex 3,38.54,311,No VAT,RepairCare Dry Flex 3,44.33,202,No VAT,,,Active,Untracked
RPC004,RepairCare Dry Flex 4,,RepairCare Dry Flex 4,45.00,311,No VAT,RepairCare Dry Flex 4,54.00,202,No VAT,,,Active,Untracked
RPC005,RepairCare Dry Flex 16,,RepairCare Dry Flex 16,39.85,311,No VAT,RepairCare Dry Flex 16,47.82,202,No VAT,,,Active,Untracked
RPC006,RepairCare Dry Fix Uni,,RepairCare Dry Fix Uni,49.36,311,No VAT,RepairCare Dry Fix Uni,59.232,202,No VAT,,,Active,Untracked
RPC007,RepairCare Dry Flex SF Filler,,RepairCare Dry Flex SF Filler,23.11,311,No VAT,RepairCare Dry Flex SF Filler,26.58,202,No VAT,,,Active,Untracked
SAD001,Sadolin Classic - 5 ltr,,Sadolin Classic - 5 ltr,71.23,311,No VAT,Sadolin Classic - 5 ltr,78.36,202,No VAT,,,Active,Untracked
SAD002,Sadolin Classic - 2.5 ltr,,Sadolin Classic - 2.5 ltr,37.78,311,No VAT,Sadolin Classic - 2.5 ltr,41.55,202,No VAT,,,Active,Untracked
SAD003,Sadolin Classic - 1 ltr,,Sadolin Classic - 1 ltr,16.46,311,No VAT,Sadolin Classic - 1 ltr,18.11,202,No VAT,,,Active,Untracked
SAD004,Sadolin Extra - 5 ltr,,Sadolin Extra - 5 ltr,84.44,311,No VAT,Sadolin Extra - 5 ltr,92.89,202,No VAT,,,Active,Untracked
